run_id,run_type,model_name,model_family,model_type,dataset_name,is_time_series,column_size,row_size,evaluation_metric,evaluation_value,duration,sql,explainability
b39adaba-1a77-46ed-ae09-b1ca0e48c5eb,training,crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_dnn_regressor_12bbc3ea,regression,DNN_REGRESSOR,sdoh_bea_cainc30.fips,TRUE,34,22386,mean_squared_error,895849225224.6813,284.91,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_dnn_regressor_12bbc3ea`
                OPTIONS(model_type='DNN_REGRESSOR', INPUT_LABEL_COLS=['Unemployment_insurance'])
                AS
                (SELECT * EXCEPT(Year) FROM `bigquery-public-data.sdoh_bea_cainc30.fips`
                WHERE Unemployment_insurance IS NOT NULL)",None
b7146b7d-76ca-4fbd-b7f6-d2599cf51e68,training,crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_linear_reg_439f87d8,regression,LINEAR_REG,sdoh_bea_cainc30.fips,TRUE,34,22386,mean_squared_error,191590929881.61792,30.05,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_linear_reg_439f87d8`
                OPTIONS(model_type='LINEAR_REG', INPUT_LABEL_COLS=['Unemployment_insurance'])
                AS
                (SELECT * EXCEPT(Year) FROM `bigquery-public-data.sdoh_bea_cainc30.fips`
                WHERE Unemployment_insurance IS NOT NULL)",Intrinsic
39d92b0d-4217-4975-ad31-6d3b6ebcdbf4,training,crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_random_forest_regressor_d6d494e6,regression,RANDOM_FOREST_REGRESSOR,sdoh_bea_cainc30.fips,TRUE,34,22386,mean_squared_error,173411083256.60468,281.68,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_random_forest_regressor_d6d494e6`
                OPTIONS(model_type='RANDOM_FOREST_REGRESSOR', INPUT_LABEL_COLS=['Unemployment_insurance'])
                AS
                (SELECT * EXCEPT(Year) FROM `bigquery-public-data.sdoh_bea_cainc30.fips`
                WHERE Unemployment_insurance IS NOT NULL)",SHAP
8e2e23de-a270-4fc0-910f-992e3a28589c,inference,crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_boosted_tree_regressor_e03ea9bb,regression,BOOSTED_TREE_REGRESSOR,sdoh_bea_cainc30.fips,TRUE,34,22386,,,1.47,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_boosted_tree_regressor_e03ea9bb`, (SELECT * EXCEPT(Employer_contrib_govt_and_social_insurance), 51836 AS Employer_contrib_govt_and_social_insurance FROM `bigquery-public-data.sdoh_bea_cainc30.fips` WHERE Year = '2012-01-01' AND Employer_contrib_govt_and_social_insurance > 51835 AND Employer_contrib_govt_and_social_insurance > 51836))",SHAP
b7edd4d2-f62d-4b33-b15b-4348c63f8438,inference,crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_dnn_linear_combined_regressor_3ef78ded,regression,DNN_LINEAR_COMBINED_REGRESSOR,sdoh_bea_cainc30.fips,TRUE,34,22386,,,2.02,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_dnn_linear_combined_regressor_3ef78ded`, (SELECT * EXCEPT(Employer_contrib_govt_and_social_insurance), 51836 AS Employer_contrib_govt_and_social_insurance FROM `bigquery-public-data.sdoh_bea_cainc30.fips` WHERE Year = '2012-01-01' AND Employer_contrib_govt_and_social_insurance > 51835 AND Employer_contrib_govt_and_social_insurance > 51836))",None
3977f99a-3f1d-4d48-a458-599fd0c25680,inference,crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_dnn_regressor_12bbc3ea,regression,DNN_REGRESSOR,sdoh_bea_cainc30.fips,TRUE,34,22386,,,1.66,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_dnn_regressor_12bbc3ea`, (SELECT * EXCEPT(Employer_contrib_govt_and_social_insurance), 51836 AS Employer_contrib_govt_and_social_insurance FROM `bigquery-public-data.sdoh_bea_cainc30.fips` WHERE Year = '2012-01-01' AND Employer_contrib_govt_and_social_insurance > 51835 AND Employer_contrib_govt_and_social_insurance > 51836))",None
97b0979f-8fe8-4d7e-b0e9-e7c8a1aa7204,inference,crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_linear_reg_439f87d8,regression,LINEAR_REG,sdoh_bea_cainc30.fips,TRUE,34,22386,,,0.94,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_linear_reg_439f87d8`, (SELECT * EXCEPT(Employer_contrib_govt_and_social_insurance), 51836 AS Employer_contrib_govt_and_social_insurance FROM `bigquery-public-data.sdoh_bea_cainc30.fips` WHERE Year = '2012-01-01' AND Employer_contrib_govt_and_social_insurance > 51835 AND Employer_contrib_govt_and_social_insurance > 51836))",Intrinsic
14e69f82-e2e6-4ba8-8df3-b5ad20ad13d4,inference,crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_random_forest_regressor_d6d494e6,regression,RANDOM_FOREST_REGRESSOR,sdoh_bea_cainc30.fips,TRUE,34,22386,,,0.93,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_random_forest_regressor_d6d494e6`, (SELECT * EXCEPT(Employer_contrib_govt_and_social_insurance), 51836 AS Employer_contrib_govt_and_social_insurance FROM `bigquery-public-data.sdoh_bea_cainc30.fips` WHERE Year = '2012-01-01' AND Employer_contrib_govt_and_social_insurance > 51835 AND Employer_contrib_govt_and_social_insurance > 51836))",SHAP
373e4e58-f3bc-40ee-864d-198012b666b2,training,crypto-isotope-366706.sql_knowledge_base.outpatient_services_new_automl_regressor_bf7b18bc,regression,AUTOML_REGRESSOR,medicare.outpatient_charges_2014,FALSE,11,35895,mean_squared_error,39605136.61074641,8059.47,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.outpatient_services_new_automl_regressor_bf7b18bc`
                OPTIONS(model_type='AUTOML_REGRESSOR', INPUT_LABEL_COLS=['outpatient_services'])
                AS
                (SELECT * FROM `bigquery-public-data.medicare.outpatient_charges_2014`
                WHERE outpatient_services IS NOT NULL)",None
9f48653b-708a-4403-b5b7-225a64242891,training,crypto-isotope-366706.sql_knowledge_base.outpatient_services_new_boosted_tree_regressor_d577dd2b,regression,BOOSTED_TREE_REGRESSOR,medicare.outpatient_charges_2014,FALSE,11,35895,mean_squared_error,28243248.036516957,278.85,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.outpatient_services_new_boosted_tree_regressor_d577dd2b`
                OPTIONS(model_type='BOOSTED_TREE_REGRESSOR', INPUT_LABEL_COLS=['outpatient_services'])
                AS
                (SELECT * FROM `bigquery-public-data.medicare.outpatient_charges_2014`
                WHERE outpatient_services IS NOT NULL)",SHAP
