dataset,table,task,algorithm,model_id,num_rows,num_features,r2,rmse,mae,fit_time,score_time
sdoh_bea_cainc30,fips,regression,linear,79,22386,31,1.0,6.283228624248848,1.0780949592590332,0.005841995123773813,0.008475862443447113
sdoh_bea_cainc30,fips,regression,stochastic_gradient_descent,80,22386,31,,,,0.07980873435735703,0.003940021153539419
sdoh_bea_cainc30,fips,regression,svm,86,22386,31,-0.0032633543014526367,,1012615.375,19.07378578186035,2.348452091217041
sdoh_bea_cainc30,fips,regression,xgboost,81,22386,31,-4.133176803588867,,411931.0625,0.12054812163114548,0.0011669870000332594
sdoh_bea_cainc30,fips,regression,ada_boost,82,22386,31,0.9845702648162842,,316940.1875,1.2256782054901123,0.005533548071980476
sdoh_bea_cainc30,fips,regression,stochastic_gradient_descent,90,22386,31,,,,0.059953346848487854,0.003922971896827221
sdoh_bea_cainc30,fips,regression,catboost,83,22386,31,0.5674233436584473,,393821.03125,2.2443854808807373,0.017269251868128777
sdoh_bea_cainc30,fips,regression,elastic_net,87,22386,31,0.9996798634529114,,49715.5,1.1319451332092285,0.006744295824319124
sdoh_bea_cainc30,fips,regression,random_forest,94,22386,31,0.9861009120941162,2409.768246118286,301.265869140625,78.00895690917969,0.07928984612226486
sdoh_bea_cainc30,fips,regression,bayesian_ridge,88,22386,31,1.0,24.798228735889587,1.5993753671646118,0.18759280443191528,0.007286138832569122
sdoh_bea_cainc30,fips,regression,catboost,93,22386,31,0.9775354862213135,5995.364876302359,520.2564086914062,2.23022198677063,0.018682032823562622
sdoh_bea_cainc30,fips,regression,linear,89,22386,31,1.0,2.7913743810278464,0.5812233686447144,0.005838822107762098,0.0005457489751279354
sdoh_bea_cainc30,fips,regression,xgboost,91,22386,31,0.2227712869644165,35241.24129482388,1142.3472900390625,0.11929947137832642,0.0011487760348245502
sdoh_bea_cainc30,fips,regression,ada_boost,92,22386,31,0.9957759380340576,3620.8717182468645,1889.554443359375,2.1067070960998535,0.011794047430157661
sdoh_bea_cainc30,fips,regression,bagging,95,22386,31,0.9429439902305603,3790.579902864468,332.506591796875,7.676482677459717,0.011526626534759998
sdoh_bea_cainc30,fips,regression,svm,96,22386,31,-0.00291597843170166,42300.84254480045,2683.200439453125,15.557073593139648,2.3180527687072754
sdoh_bea_cainc30,fips,regression,elastic_net,97,22386,31,0.5645449161529541,2824.820525272358,833.0244750976562,1.1835654973983765,0.014662210829555988
sdoh_bea_cainc30,fips,regression,bayesian_ridge,98,22386,31,1.0,0.010455428641803056,0.0018756486242637038,0.1997273713350296,0.007273227907717228
sdoh_bea_cainc30,fips,regression,linear,99,22386,31,1.0,0.13314304870836574,0.015163984149694443,0.005713969003409147,0.0004645689914468676
sdoh_bea_cainc30,fips,regression,linear,109,22386,31,1.0,36.198272630144245,9.57182502746582,0.005828382913023233,0.008520147763192654
sdoh_bea_cainc30,fips,regression,stochastic_gradient_descent,100,22386,31,,,,0.05299978330731392,0.003981874790042639
sdoh_bea_cainc30,fips,regression,xgboost,101,22386,31,0.9720864295959473,,486536.75,0.1208563819527626,0.0011740300105884671
sdoh_bea_cainc30,fips,regression,ada_boost,102,22386,31,0.9954112768173218,,7908975.5,1.358049988746643,0.005908277817070484
sdoh_bea_cainc30,fips,regression,stochastic_gradient_descent,110,22386,31,,,,0.04486387223005295,0.003965180832892656
sdoh_bea_cainc30,fips,regression,catboost,103,22386,31,0.9282169342041016,,1806155.125,2.2553303241729736,0.017883310094475746
sdoh_bea_cainc30,fips,regression,random_forest,104,22386,31,0.9987412095069885,,337765.53125,67.03746795654297,0.08692523092031479
sdoh_bea_cainc30,fips,regression,bagging,105,22386,31,0.9991636276245117,,187579.5625,6.8649516105651855,0.01227650698274374
medicare,outpatient_charges_2014,regression,xgboost,111,35895,9,0.111117422580719,8260.904066747175,1141.2449951171875,0.06495460867881775,0.003146375995129347
sdoh_bea_cainc30,fips,regression,svm,106,22386,31,-0.01020514965057373,,8115820.5,19.222976684570312,2.3270153999328613
sdoh_bea_cainc30,fips,regression,elastic_net,107,22386,31,0.9997933506965637,,664628.125,0.976869523525238,0.014775021933019161
medicare,outpatient_charges_2014,regression,bagging,115,35895,9,0.3119834065437317,5979.716046770114,996.3572387695312,2.528595209121704,0.017079375684261322
sdoh_bea_cainc30,fips,regression,bayesian_ridge,108,22386,31,1.0,36.852571966511036,4.885899543762207,0.19744375348091125,0.007274257019162178
medicare,outpatient_charges_2014,regression,ada_boost,112,35895,9,-1.358203411102295,9171.368927264894,4082.040283203125,0.6756674647331238,0.0087857935577631
medicare,outpatient_charges_2014,regression,linear,119,35895,9,0.011743128299713135,6288.61065737099,1359.1737060546875,0.0017441740492358804,0.0033810939639806747
medicare,outpatient_charges_2014,regression,catboost,113,35895,9,0.19591683149337769,5082.231596454455,1012.9205322265625,2.1945981979370117,0.01291392371058464
medicare,outpatient_charges_2014,regression,bayesian_ridge,118,35895,9,0.008086562156677246,6013.181188023524,1300.1072998046875,0.10850299894809723,0.010271862149238586
medicare,outpatient_charges_2014,regression,random_forest,114,35895,9,0.1394326090812683,6253.057811982871,1084.120361328125,24.903656005859375,0.12032178044319153
medicare,outpatient_charges_2014,regression,svm,116,35895,9,-0.02425539493560791,4370.541156424453,746.2550659179688,28.178918838500977,3.3740813732147217
medicare,outpatient_charges_2014,regression,elastic_net,117,35895,9,0.04003775119781494,4518.897431896414,1416.314208984375,0.07218290865421295,0.016883455216884613
medicare,outpatient_charges_2014,regression,stochastic_gradient_descent,120,35895,9,,,,0.6733969449996948,0.005961127113550901
medicare,outpatient_charges_2014,regression,xgboost,121,35895,9,0.6951141357421875,1422.8663851535744,748.5422973632812,0.07962357252836227,0.00393650820478797
medicare,outpatient_charges_2014,regression,ada_boost,122,35895,9,-0.7455283403396606,3407.337817123509,2742.51123046875,1.6579887866973877,0.015652097761631012
medicare,outpatient_charges_2014,regression,catboost,123,35895,9,0.7308666706085205,1410.14985905754,709.6915283203125,2.220301628112793,0.011774452403187752
ncaa_basketball,mbb_historical_teams_games,regression,catboost,133,571448,10,0.5961958169937134,8.466716001271768,6.472537040710449,12.350610733032227,0.15589354932308197
medicare,outpatient_charges_2014,regression,random_forest,124,35895,9,0.667873203754425,1490.278749093605,754.8907470703125,21.002981185913086,0.11956847459077835
medicare,outpatient_charges_2014,regression,bagging,125,35895,9,0.633386492729187,1634.2551820324757,823.187255859375,2.2096757888793945,0.017178520560264587
ncaa_basketball,mbb_historical_teams_games,regression,ada_boost,142,571448,10,0.35825181007385254,10.92304359918638,8.764283180236816,17.966392517089844,0.08923935890197754
medicare,outpatient_charges_2014,regression,svm,126,35895,9,-0.16118395328521729,2897.106314928743,1642.26220703125,30.25594139099121,3.305644989013672
medicare,outpatient_charges_2014,regression,elastic_net,127,35895,9,0.586629331111908,1593.9820419314642,903.5072021484375,2.498940944671631,0.018345331773161888
ncaa_basketball,mbb_historical_teams_games,regression,linear,139,571448,10,0.5533158779144287,8.943071242833444,6.8281097412109375,0.03878738731145859,0.01801355555653572
medicare,outpatient_charges_2014,regression,bayesian_ridge,128,35895,9,0.5650590658187866,1726.6780244156696,939.1041259765625,0.05403102561831474,0.016205277293920517
ncaa_basketball,mbb_historical_teams_games,regression,bagging,135,571448,10,0.5416200160980225,9.064911620124272,6.929392337799072,31.255584716796875,0.3465985655784607
medicare,outpatient_charges_2014,regression,linear,129,35895,9,0.5644288063049316,1833.1349513879222,967.743896484375,0.001039162976667285,0.010429063811898232
medicare,outpatient_charges_2014,regression,stochastic_gradient_descent,130,35895,9,,,,0.5019508600234985,0.00436517084017396
ncaa_basketball,mbb_historical_teams_games,regression,xgboost,131,571448,10,0.5493540167808533,8.984238704808575,6.824670314788818,0.8207027316093445,0.013435094617307186
ncaa_basketball,mbb_historical_teams_games,regression,svm,136,571448,10,0.028440475463867188,13.200505356796182,10.3795166015625,17230.056640625,878.071533203125
ncaa_basketball,mbb_historical_teams_games,regression,ada_boost,132,571448,10,0.32831472158432007,10.93545774739309,8.915529251098633,15.932748794555664,0.08248933404684067
ncaa_basketball,mbb_historical_teams_games,regression,stochastic_gradient_descent,140,571448,10,-8.78981251453581e+29,,,2.244844436645508,0.03162455931305885
ncaa_basketball,mbb_historical_teams_games,regression,elastic_net,137,571448,10,0.29723334312438965,11.233077482334087,8.636430740356445,2.964988946914673,0.031672049313783646
ncaa_basketball,mbb_historical_teams_games,regression,bayesian_ridge,138,571448,10,0.5506190061569214,9.029114150554859,6.8738508224487305,0.5492470860481262,0.03806029260158539
ncaa_basketball,mbb_historical_teams_games,regression,svm,146,571448,10,0.019885361194610596,13.53555137861206,10.6213960647583,17302.654296875,856.05615234375
ncaa_basketball,mbb_historical_teams_games,regression,xgboost,141,571448,10,0.5645272731781006,9.011698854686534,6.810505390167236,0.7908218502998352,0.01312880776822567
ncaa_basketball,mbb_historical_teams_games,regression,bagging,145,571448,10,0.5545070767402649,9.122562866830645,6.944966793060303,30.835683822631836,0.3698793351650238
ncaa_basketball,mbb_historical_teams_games,regression,catboost,143,571448,10,0.6066120266914368,8.528684796348658,6.513772964477539,13.231525421142578,0.14782051742076874
ncaa_basketball,mbb_historical_teams_games,regression,elastic_net,147,571448,10,0.29465723037719727,11.41894493667418,8.731095314025879,3.2284364700317383,0.035375792533159256
ncaa_basketball,mbb_historical_teams_games,regression,bayesian_ridge,148,571448,10,0.5582118034362793,9.003817278573433,6.837766170501709,0.5587350130081177,0.03161785379052162
ncaa_basketball,mbb_historical_teams_games,regression,linear,149,571448,10,0.5623925924301147,9.04635339264335,6.8822221755981445,0.03966585546731949,0.003913754131644964
sunroof_solar,solar_potential_by_postal_code,regression,linear,159,11516,29,1.0,0.10423266634614983,0.07271977514028549,0.002423010068014264,0.0005326769896782935
ncaa_basketball,mbb_historical_teams_games,regression,stochastic_gradient_descent,150,571448,10,-3.759197752958286e+30,,,1.3537273406982422,0.02540632151067257
sunroof_solar,solar_potential_by_postal_code,regression,xgboost,151,11516,29,0.9977262020111084,1402.1677859657168,686.0877685546875,0.09030544757843018,0.0007754240068607032
sunroof_solar,solar_potential_by_postal_code,regression,ada_boost,152,11516,29,0.9750996828079224,5456.621482199402,4445.376953125,1.7425341606140137,0.010141621343791485
sunroof_solar,solar_potential_by_postal_code,regression,stochastic_gradient_descent,160,11516,29,,,,0.10200357437133789,0.00851348601281643
sunroof_solar,solar_potential_by_postal_code,regression,catboost,153,11516,29,0.998672604560852,1187.578260579066,429.82171630859375,1.8645004034042358,0.010402865707874298
sunroof_solar,solar_potential_by_postal_code,regression,random_forest,154,11516,29,0.999207079410553,927.029867372136,316.4031677246094,19.962032318115234,0.03122677654027939
noaa_tsunami,historical_runups,regression,elastic_net,167,28295,30,0.6599137783050537,2.7883949656343523,1.0871890783309937,18.15701675415039,0.06340828537940979
sunroof_solar,solar_potential_by_postal_code,regression,bagging,155,11516,29,0.9984084963798523,1255.823235969139,358.7406921386719,2.01934814453125,0.0060740988701581955
noaa_tsunami,historical_runups,regression,xgboost,161,28295,30,0.8489902019500732,1.8454670427098256,0.5572543740272522,0.06432516127824783,0.0015008889604359865
sunroof_solar,solar_potential_by_postal_code,regression,svm,156,11516,29,-0.1086815595626831,31606.23837156203,17506.9609375,4.096927642822266,0.5949790477752686
sunroof_solar,solar_potential_by_postal_code,regression,elastic_net,157,11516,29,0.997127890586853,1786.2533414944253,1088.9674072265625,1327.561279296875,0.025291118770837784
noaa_tsunami,historical_runups,regression,bagging,165,28295,30,0.9171860814094543,1.3915443381874693,0.3120141327381134,0.3941676616668701,0.008611081168055534
sunroof_solar,solar_potential_by_postal_code,regression,bayesian_ridge,158,11516,29,1.0,5.892439261808438,3.6395111083984375,0.13947811722755432,0.0019710450433194637
noaa_tsunami,historical_runups,regression,ada_boost,162,28295,30,0.7497986555099487,2.3148405241774794,0.7054398059844971,0.40123000741004944,0.006879222113639116
noaa_tsunami,historical_runups,regression,catboost,163,28295,30,0.9134753942489624,1.3404088733095938,0.33323124051094055,2.3424172401428223,0.02410522662103176
noaa_tsunami,historical_runups,regression,linear,169,28295,30,0.6273173093795776,2.6038140528689304,1.0380374193191528,0.008170532993972301,0.0008068620227277279
noaa_tsunami,historical_runups,regression,random_forest,164,28295,30,0.9359003901481628,1.1091190633916945,0.2449929118156433,3.313098192214966,0.020171012729406357
noaa_tsunami,historical_runups,regression,svm,166,28295,30,-0.05715489387512207,4.64974480205561,1.4584404230117798,9.445937156677246,1.0374095439910889
noaa_tsunami,historical_runups,regression,bayesian_ridge,168,28295,30,0.605131983757019,2.9439995467558804,1.1655521392822266,0.1561603844165802,0.009375235997140408
noaa_tsunami,historical_runups,regression,stochastic_gradient_descent,170,28295,30,-1.31935022586139e+33,,,0.05189223960042,0.005141925998032093
